Author,News_statement,Source,Validity_Check
Samantha Putterman,Says Donald Trump scored a 73 on an IQ test administered to him while in high school at New York Military Academy.,Viral image,Fake
Ciara O'Rourke,An app called Talking Angela asks children personal questions and takes their photo.,Viral image,Fake
Eric Litke,"Says Wisconsin payday loans have a 574% average annual interest rate, ""exploitative lending that keeps Americans trapped in debt""",Bernie Sanders,Real
Louis Jacobson,"Tariffs are ""paid for mostly by China, by the way, not by us.""",Donald Trump,Fake
Miriam Valverde,"""Race is the No. 1 indicator for where toxic and polluting facilities are today.""",Beto O'Rourke,Real
Shefali Luthra,"""The so-called ‘heartbeat’ law outlaws abortion before most women even know that they're pregnant. This is one of the most restrictive anti-abortion laws in our country.""",Eric Swalwell,Real
Kiannah Sepeda-Miller,"""In states that have legalized (recreational marijuana), you see steady decreases in youth use if you do it right.""",Kelly Cassidy,Fake
Allie Morris,"Says he met a teacher in Dallas ""who was only in his third year of teaching and already making more than $90,000 a year in salary.""",Greg Abbott,Fake
Patrick Downey,"""19% of WVians rely on SNAP,"" or food stamps.",Joe Manchin,Real
Madlin Mekelburg,"""Texas actually leads in the number of (Confederate) monuments removed.""",Brandon Creighton,Real
Garrett Spikes,"""Nearly 20 million Americans ... have gained health insurance since (the Affordable Care Act) passed in 2010.""",Joe Manchin,Real
Mylana Chico,"""West Virginia spends more tax dollars on public education than all but 13 other states and the District of Columbia.""",West Virginia Republican Party,Fake
Ciara O'Rourke,"""The city of Minneapolis has set up a Sharia hotline for residents to report citizens who criticize Islam, in order to prosecute them for ‘hate crimes.’""",Viral image,Fake
Ciara O'Rourke,"A New Hampshire congressman was arrested ""when caught by Capitol police defacing the presidential limousine with swastikas.""",Viral image,Fake
Ciara O'Rourke,"Says John F. Kennedy said, ""What if we go to heaven and we, all our lives, have treated the Negro as an inferior, and God is there, and we look up and He is not white? What then is our response?""",Viral image,Fake
Yanqi Xu,"""Nowadays, there is more regulation over toy guns than real ones.""",Cory Booker,Fake
D.L. Davis,"""Tony Evers is cutting child support.""",Dale Kooyenga,Real
Gaëlle Fournier,"""Over 30 states passed the legislation to ban powdered alcohol,"" and Missouri is not one of them",Patricia Pike,Real
Samantha Putterman,"Quotes Joe Biden as saying ""no ordinary American cares about constitutional rights.""",Viral image,Fake
Jon Greenberg,"""Of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since then abandoned it.""",Joel Griffith,Real
Amy Sherman,"Democrats ""don’t want money"" to go to the Florida Panhandle for Hurricane Michael aid",Donald Trump,Fake
Paul Specht,"Says he ""cast the deciding vote"" to override a vetoed ‘born alive’ bill",Dan Bishop,Fake
John Kruzel,"""I’m one of the first guys to introduce a climate change bill, way, way back in ‘87.""",Joe Biden,Real
Lauren Richey,"""On our current trajectory, we’ll be 2,000 prison beds short by 2021... We’ll need two new prisons soon, at the cost of $485 million over the next five years.""",Cody Smith,Real
Samantha Putterman,"Says chiefs from the American Indian Nation gave Donald Trump a plaque of his new Indian name, ""Walking Eagle,"" which actually depicts ""a bird so full of s*** it can no longer fly.""",Facebook posts,Fake
Zara McDowell-Barker,"""Our state transportation department already has a heavy debt load and has paid more than $700 million in debt payments in just the last two years.""",Cody Smith,Real
Miriam Valverde,"""60 million Americans live in a place where the water they drink is unsafe.""",Beto O'Rourke,Fake
Eric Litke,"""99.4% of businesses in Wisconsin are small businesses,"" and they employ ""nearly half of our workforce.""",Ron Johnson,Real
Louis Jacobson,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",Viral image,Real
Samantha Putterman,Says a photo of a young girl crying alongside an ISIS member is a Christian being forced into sexual slavery as a child bride.,Viral image,Fake
Samantha Putterman,"Quotes Valerie Jarrett as saying she is an ""Iranian by birth"" and seeks to ""change America to be a more Islamic country""",Facebook posts,Fake
Ciara O'Rourke,"Neil Armstrong’s space boots don’t match a photo of his footprint on the moon, suggesting the moon landing was a hoax.",Viral image,Fake
Ciara O'Rourke,"Says Bill de Blasio is ""banning hot dog sales to stop climate change.""",Viral image,Fake
Jon Greenberg,"""One out of five Americans cannot afford the cost of prescription drugs.""",Bernie Sanders,Real
John Kruzel,"""I was always labeled as one of the most liberal members of the United States Congress.""",Joe Biden,Fake
Kiannah Sepeda-Miller,"""The last time Illinois raised the minimum wage in 2006, the very next year this state lost 50,000 jobs. The prediction this time is, we’ll lose 90,000 jobs.""",Dale Righter,Fake
Samantha Putterman,"Says a Roman statesman in 42 B.C. had a ""warning about Trump"" when he said 2,000 years ago that a nation ""cannot survive treason from within.""",Facebook posts,Fake
Ciara O'Rourke,Says Filipino news organizations are part of a plot to discredit President Rodrigo Duterte and destabilize his government.,The Manila Times,Fake
Madlin Mekelburg,"Says one year ago, ""no cities in the South had guaranteed paid sick days.""",Greg Casar,Fake
Matthew Riley,Photo shows a sea of red-clad education advocates covering most of the Halifax Mall.,Mark Jewell,Fake
Samantha Putterman,"Quotes President Jimmy Carter as saying ""If you don’t want your tax dollars to help the poor, then stop saying you want a country based on Christian values, because you don’t.""",Facebook posts,Fake
Eric Litke,"""We suspended the (Foxconn) work around October, November last year because the weather there was snowy and icy cold.""",Terry Gou,Fake
Laura Murgatroyd,"""One-fourth of the vehicles on (Missouri’s) highways are defective.""",Dave Muntzel,Real
Madison Conte,"""When comparing state by state, the data clearly demonstrates that over 20 other states with (Prescription Drug Monitoring Programs) are still substantially worse off than Missouri in terms of curbing the effects of opioid abuse.""",Cindy O’Laughlin,Real
Yanqi Xu,"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""",Bernie Sanders,Real
Mica Soellner,"""The unemployment rate for Wisconsin workers has reached historic lows. It’s never been this low before, ever, ever, ever.""",Donald Trump,Real
Shefali Luthra,"""We now have longitudinal data that shows that children born around Superfund sites have dramatically higher rates of birth defects, dramatically higher rates of autism.""",Cory Booker,Real
Ciara O'Rourke,"Says Joe Biden said, ""the Germans bombed Pearl Harbor.""",Viral image,Fake
John Kruzel,"""Before 1973 it was illegal in the U.S. to profit off of health care.""",Bloggers,Fake
Samantha Putterman,Says Hillary Clinton was to be indicted over the Whitewater scandal four days before documents related to the case were destroyed in the Oklahoma City bombing.,Facebook posts,Fake
Samantha Putterman,"Says Facebook is now a ""public entity"" that will be able to ""use your photos"" and ""information"" unless you post a statement declining your permission.",Facebook posts,Fake
Eric Litke,"""The poverty rate for Wisconsin families has reached the lowest rate in 22 years.""",Donald Trump,Fake
D.L. Davis,"""We have been losing to China for many years, $500 billion a year.",Donald Trump,Fake
Miriam Valverde,"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""",Elizabeth Warren,Real
Jill Terreri,"""The enumeration clause speaks to the count of every individual, and not just Americans, not just citizens.""",Letitia James,Real
Warren Fiske,"State Sen. Emmett Hanger ""has voted for the three largest tax increases - proposed tax increases - in Virginia history.""",Tina Freitas,Fake
Olivia Garrett,"""We have an unemployment (rate of) 1.5 in Boone County, and we can’t find enough workers.""",Cheri Toalson Reisch,Real
Louis Jacobson,"The Russia investigation ""was a coup. This was an attempted overthrow of the United States government.""",Donald Trump,Fake
Jon Greenberg,"With a late-term abortion, ""the mother meets with the doctor. They take care of the baby, they wrap the baby beautifully. And then the doctor and the mother determine whether or not they will execute the baby.""",Donald Trump,Fake
Samantha Putterman,Says Mitch McConnell was cured of polio when he was a child by government-funded care and now he’s trying to take that same care away from millions of Americans,Facebook posts,Fake
Miriam Valverde,"""Half the country today has either diabetes or prediabetes.""",Tim Ryan,Real
Kiannah Sepeda-Miller,"""We’re in a situation right now where 80% of the country is living paycheck to paycheck.""",Marie Newman,Real
Shefali Luthra,"""One out of 4 diabetes patients in our country cannot afford their insulin.""",Kamala Harris,Real
Kennedy Simone,"""All the ponds in Missouri for which we have data are causing groundwater contamination. … This is a statewide issue.""",Maxine Lipeles,Real
Madlin Mekelburg,"Says 74% of people in Texas are ""crammed into 4% of the land.""",Bennett Sandlin,Real
Ciara O'Rourke,"Says New York Democrat Jenna Tull was recorded saying, ""Americans should be euthanized when they hit 70. They just become too dumb….and think of the money we’d save!""",Viral image,Fake
Ciara O'Rourke,"""Shakespeare said: ‘I always feel happy. You know why? Because I don’t expect anything from anyone. Expectations always hurt. Life is short. So love your life. Be Happy. & Keep smiling.""",Viral image,Fake
Samantha Putterman,"For the first time in U.S. history, a one-year-old appears in court as a defendant.",Viral image,Fake
Jon Greenberg,"Says Joe Biden ""voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation.""",Justice Democrats,Real
Ciara O'Rourke,Says Hillary Clinton said in an email that she didn’t want Michelle Obama at the same events as her.,Viral image,Fake
Samantha Putterman,"Quotes George Soros as saying ""I’ve made my life’s mission to destroy the United States. I hate this country and I hate all of the people in it!""",Facebook posts,Fake
D.L. Davis,"""Our road conditions cost WI families. In Milwaukee, the average cost per driver is $2,300.""",LaTonya Johnson,Fake
Emmarie Huetteman,"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""",Amy Klobuchar,Real
Samantha Young,California is leading the nation in holding drug companies accountable and fighting prescription drug prices.,Gavin Newsom,Real
Paul Specht,"Says ""5 out of 10"" GOP candidates don’t live in North Carolina’s 9th Congressional District.",Stony Rushing,Real
Amy Sherman,"Florida state senators ""are pushing a new government program that allows prescription drugs from China without FDA inspection.""",The Partnership for Safe Medicines,Fake
Yanqi Xu,"""Most of home care is paid by government programs.""",John Delaney,Real
Ciara O'Rourke,"""Border guards found 52 tons of guns and ammunition in 14 Conex containers disguised as furniture. This ‘furniture’ is from Muslim immigrants who have come to America""",Viral image,Fake
Sidney Steele,"""There are statistics out there that show the number of women who died from illegal abortions prior to Roe v. Wade, that number has skyrocketed since with women dying more with legal abortions.""",Nick Schroer,Fake
Gaëlle Fournier,"""Every county in the state of Texas has a veterans court.""",Dave Griffith,Fake
Tom Kertscher,"Says he has ""more executive experience than the vice president.""",Pete Buttigieg,Fake
Ellie French,"""In my own state of Vermont, from the very first days of our state's history, what our Constitution says is that everybody can vote. That is true. So people in jail can vote.""",Bernie Sanders,Real
Al Bernardi,"""I was the only member of the Senate – Republican or Democrat – who has consistently voted against efforts to use the so called ‘nuclear option’ to change the rules of the Senate.""",Joe Manchin,Real
Stephanie Alvaro,"""West Virginia’s exports increased for the second year in a row in 2018, reaching $8.1 billion. Additionally, West Virginia’s export growth rate was 14.2%, nearly double the national average of 7.6%.""",West Virginia Republican Party,Real
Al Bernardi,"""Our state has fewer science, technology, engineering and math graduates than any neighboring state.""",E. Gordon Gee,Real
Stephanie Alvaro,"Small businesses in West Virginia make up ""99 percent of the total number of businesses in the state"" and employ ""nearly 50 percent of the state’s workforce.""",Nikki Bowmar,Real
Garrett Spikes,"""It is estimated that more than 20 veterans die by suicide every day.""",Joe Manchin,Real
Louis Jacobson,"""The majority of women are minimum wage workers.""",Kamala Harris,Fake
John Kruzel,"Russia’s interference in the 2016 election amounted to ""a couple of Facebook ads.""",Jared Kushner,Fake
Mica Soellner,"Says Gov. Tony Evers' budget includes tax and fee increases even while spending ""more on his way to a nearly $2 billion deficit.""",David Craig,Real
Madlin Mekelburg,"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County.""",Dan Patrick,Real
Louis Jacobson,"""In the ‘old days’ if you were president and you had a good economy, you were basically immune from criticism.""",Donald Trump,Fake
Amy Sherman,"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""",Mac Heller,Real
Samantha Putterman,"An image of a woman buried up to her neck and drinking a spoonful of water was from Iran and taken just before she was ""stoned to death"" under Sharia Law.",Viral image,Fake
Bill McCarthy,"""Currently, 23 percent of our military's infrastructure is graded as 'poor' while 9 percent is 'failing.'""",Allen Thomas,Real
Warren Fiske,"""Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850...""",Beto O'Rourke,Real
John Kruzel,"""The White House fully cooperated with the Special Counsel’s investigation.""",William Barr,Fake
Samantha Putterman,"Says ""combined doses of vaccines"" have never been tested.",Facebook posts,Fake
Ciara O'Rourke,A PETA activist was taped to a tree after protesting a biker rally.,Viral image,Fake
Julianna Rennie,"In 2017, the first piece of legislation that Republicans passed ""made it easier for the mentally ill to purchase guns.""",Eric Swalwell,Real
Louis Jacobson,"Says Jimmy Carter was the last ""U.S. president to say flat out those (Israeli) settlements are illegal.""",Marianne Williamson,Real
Kiannah Sepeda-Miller,"""In almost every state with an income tax, wealthy people pay a higher tax rate than the middle class.""",Think Big Illinois,Fake
Jill Terreri,"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",Donald Trump,Real
Tom Kertscher,"""There is $50 billion a year wasted in the Medicare program.""",Tim Ryan,Real
Louis Jacobson,"""No, we do not have laws in place protecting babies who are born alive as the result of an abortion.""",Joyce Krawiec,Fake
Chris Nichols,"""It's clear in our country right now, almost half of American families are a $400 unexpected expense away from complete upheaval.""",Kamala Harris,Real
Madlin Mekelburg,"""There have been zero reported instances of any child born alive after an abortion in Texas.""",Donna Howard,Real
Peter Jancarik,"Says Sen. Kamala  Harris ""introduced a bill today to forbid a police officers from drawing his/her gun without permission from their supervisor.""",Viral image,Fake
Yue Yu,"Says SJR 11 ""seeks to fix what is very quickly becoming a problem in Missouri — initiative petitions and referendums are being filed at record highs.""",Eric Burlison,Real
Samantha Putterman,"Says Donald Trump wrote in his book, ""Being an atheist gives me an edge in every deal. Christians are too moral for business.""",Facebook posts,Fake
Catherine Harrington,"The Affordable Care Act ""provided over 200,000 West Virginians with health care coverage.""",West Virginia Democratic Party,Real
Jill Terreri,"""Fifty-two counties have average taxes of above the SALT $10,000 cap.""",Andrew Cuomo,Fake
Ciara O'Rourke,A photo shows Muslims laughing in front of a burning Notre Dame.,Viral image,Fake
Miriam Valverde,"Says President Donald Trump's ""effort to roll back regulations means that Big Ag now gets to inspect its own pork"" and ""they decided to stop testing for E. coli.""",Tulsi Gabbard,Fake
D.L. Davis,"""Wisconsin (has) the highest infant mortality rate for black babies nationwide.""",Shelia Stubbs,Real
Samantha Putterman,"A video clip from the Notre Dame cathedral fire shows a man walking alone in a tower of the church ""dressed in Muslim garb.""",Facebook posts,Fake
Madlin Mekelburg,"""Like every budget passed by the Senate since I have been lieutenant governor, Senate Bill 1 is within the spending limit set by the Texas Constitution.""",Dan Patrick,Real
Bill McCarthy,"Says all North Carolina teachers do not currently get a ""duty free lunch break.""",John Torbett,Real
Erica Anderson,"""The states that have passed (campus carry laws) have seen enrollment drop significantly.""",Andrew Byrd,Fake
Adam Reckamp,"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the former home of the St. Louis Rams.""",Denny Hoskins,Fake
Amy Sherman,"""People show up in the emergency room with a sprained ankle, 25 percent get an opioid prescription.""",Joe Biden,Real
Warren Fiske,"Other than University of Virginia’s 2019 basketball team, ""We’ve not had a Virginia team even in the Final Four in over a decade. I think George Mason was the last one…""",Mark Warner,Fake
Tom Kertscher,"""For every dollar we spend on actual peace creation, we spend over $1,000 on ways to prepare for war.""",Marianne Williamson,Real
Louis Jacobson,"Says presidents George W. Bush and Barack Obama each tried to get immigration bills passed, but ""it did not work because the other party was unwilling to provide the president and his party a victory.""",Howard Schultz,Fake
Shefali Luthra,"""Drug prices in this country actually came down last year for the first time in 50 years. That’s because Donald Trump’s president.""",Mick Mulvaney,Fake
Ciara O'Rourke,"""Measles kills 11 people in 19 years (since 2000). MMR vaccine kills 445 infants in 1 year (since 2018).""",Viral image,Fake
Angie Drobnic,Says that the Council on American-Islamic Relations was founded in response to 9/11.,Ilhan Omar,Fake
Kiannah Sepeda-Miller,"Says Chicago’s reduction in teen smoking over the last eight years is the ""largest drop in the United States of America.""",Rahm Emanuel,Fake
Samantha Putterman,"Quotes Thomas Homer-Dixon as saying a windmill will ""never generate as much energy as was invested building it.""",Facebook posts,Fake
Eric Litke,"""Governor Evers' budget would increase property taxes by the largest amount in a decade""",Wisconsin Assembly Republicans,Real
Paul Specht,"""North Carolina last year was second in the nation in overdose deaths""",Harry Brown,Fake
Amy Sherman,"Says President Donald Trump ""cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups.""",Cory Booker,Fake
Ciara O'Rourke,"Says William T. Thompson, the designer of the Confederate flag, said, ""As a people we are fighting to maintain the Heaven-ordained supremacy of the white man over the inferior or colored race"" and ""As a national emblem, it is significant of our higher cause, the cause of the superior race.""",Viral image,Real
Samantha Putterman,"A photo of Muslim women with the words ""Down with the USA"" written on their hands was taken in Michigan.",Viral image,Fake
Samantha Putterman,Says Jay-Z set up a $15 million trust fund for Nipsey Hussle’s children.,Bloggers,Fake
Julianna Rennie,"""We got to almost universal coverage in health care in Colorado.""",John Hickenlooper,Real
Colin Meyn,"""The F-35 bombers, scheduled to arrive in Burlington this fall, have been designated with a nuclear mission.""",Rachel Siegel,Fake
Amy Sherman,"The Southern strategy is a ""myth"" that ""never happened.""",Candace Owens,Fake
Louis Jacobson,"""We cut unemployment by more than half"" in South Bend, Ind.",Pete Buttigieg,Real
Ciara O'Rourke,"""Health and Human Services admits they have never conducted federally-required monitoring of vaccine safety for over 30 years.""",Viral image,Fake
Samantha Putterman,"In 20 years ""there will be enough Muslim voters in the U.S. to elect the president.""",Facebook posts,Fake
Ciara O'Rourke,A photograph shows an undocumented immigrant with smallpox.,Viral image,Fake
Zara McDowell-Barker,"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools.""",Clif Smart,Real
Eric Litke,"Says GOP leaders have ""made overtures to meet on a regular basis,"" but Gov. Tony Evers has ""refused to even meet with us.""",Jim Steineke,Real
Samantha Putterman,"Says ""13,506 Marines have applied for White House duty"" since Trump’s inauguration. When Obama was president, ""no Marines volunteered"" but had to be ""assigned.""",Viral image,Fake
Samantha Putterman,"Says President Barack Obama once said, ""The American dream is to be Donald Trump""",Facebook posts,Fake
Amy Sherman,"Florida ""passed a law where former felons can now vote. We've had more ex-felons register as Republicans than Democrats.""",Jared Kushner,Fake
Miriam Valverde,"Says President Donald Trump said asylum seekers ""aren't people. These are animals.""",Tweets,Fake
Jon Greenberg,"""The noise (from windmills) causes cancer.""",Donald Trump,Fake
Ciara O'Rourke,"Says John F. Kennedy Jr. said, ""If my dear friend Donald Trump ever decided to sacrifice his fabulous billionaire lifestyle to become president he would be an unstoppable force for ultimate justice that Democrats and Republicans alike would celebrate.""",Viral image,Fake
Samantha Putterman,Photos related to gun violence in present-day United States and the Holocaust in Nazi Germany suggest that gun control laws created or exacerbated the genocide of Jews.,Viral image,Fake
Madlin Mekelburg,"""194,000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299,000 criminal offenses.""",Paul Bettencourt,Real
Garrett Spikes,"""Beginning in the early 1990s, we built barriers in 4 sectors at our southern border. Since each was built, those sectors have seen massive drops in apprehensions of people crossing the border illegally,"" including 90 percent to 95 percent decreases in the Tucson, Yuma, San Diego and El Paso sectors. ​",Shelley Moore Capito,Fake
Aidan Quigley,"""The public health science is clear that the use of the addiction medicine buprenorphine saves lives whether that use has been prescribed or not.""",Miro Weinberger,Real
Kiannah Sepeda-Miller,"""The City of Chicago is often bailed out by taxpayers in the rest of the State, such as the $221 million bailout for the CPS (Chicago Public Schools) pension system that was signed into law.""",Brad Halbrook,Fake
D.L. Davis,"""FYI: the last statewide recount in WI was in 2016. After that recount, the vote margin changed by only 131 out of the 2.7 million votes cast.""",Republican Party of Wisconsin,Real
Jill Terreri,"The state budget fully funds ""an initiative to provide free college tuition for illegal immigrants, while rejecting an increase in Tuition Assistance Program funding that would help middle-class families afford college.""",John Flanagan,Real
Madlin Mekelburg,"Abortion providers perform almost 60,000 procedures in Texas every year.",Donna Campbell,Real
Louis Jacobson,"""Since 1973, the income of the bottom 90 percent, so pretty much all of us, didn’t budge, or even retreated a little bit.""",Pete Buttigieg,Real
Miriam Valverde,"Says that the George W. Bush administration in 2005 revived a long-standing law when it ""decided to charge those that crossed the border with criminal violations, rather than civil ones.""",Julián Castro,Real
Bill McCarthy,"""The previous administration under President Barack Obama really was the first time that we didn’t ask a citizenship-type question … for the first time in a century, a citizenship question was not included in 2010.""",Mark Meadows,Fake
Mylana Chico,"In the state rankings for ACT test scores, West Virginia ""is 30th. Which states are listed in the bottom? 15 states with charter schools.""",Mike Romano,Fake
Mica Soellner,"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",Daniel Riemer,Real
Tom Kertscher,"Says his father, Fred Trump, was ""born in a very wonderful place in Germany.""",Donald Trump,Fake
Jon Greenberg,"Mergers and integration in agribusiness ""squeeze"" family farms, and ""the result is that farmers are getting a record-low amount of every dollar Americans spend on food.""",Elizabeth Warren,Real
Ciara O'Rourke,A photograph shows Joe Biden kissing a woman behind Lindsey Graham.,Viral image,Fake
Al Bernardi,"In West Virginia, ""our students enter in at fourth grade the first time they’re tested, 37th or 38th in the nation—which is not good, but it’s not horrible. By the time they’re in the 8th grade, they’re 46th or 47th, and then upon 11th grade testing they’re near last.""",Mitch Carmichael,Real
Catherine Harrington,"""We have had an increase of 67 percent (in) the number of children taken into state custody since 2014.""",Jeremiah Samples,Real
Amy Sherman,"""Puerto Rico got 91 Billion Dollars for the hurricane, more money than has ever been gotten for a hurricane before.""",Donald Trump,Fake
John Kruzel,"""When the wind stops blowing, that’s the end of your electric.""",Donald Trump,Fake
Chris Nichols,"Americans ""would run out of avocados in three weeks"" if imports from Mexico were stopped due to a border closure.",Bloggers,Real
Samantha Putterman,"""Hackers are posting sexual videos and pictures on your (Facebook) walls! You don’t see them, but your friends do, then it seems as if you posted it.""",Facebook posts,Fake
Tom Kertscher,"""America’s life expectancy has declined for the last three years in a row, the first time in a hundred years, because of surges in suicides and drug overdoses.""",Andrew Yang,Real
Ciara O'Rourke,"Seven days before John F. Kennedy was assassinated he said, ""There’s a plot in this country to enslave every man, woman and child. Before I leave this high and noble office, I intend to expose this plot.""",Viral image,Fake
D.L. Davis,"Says Milwaukee Mayor Tom Barrett did not want a juvenile facility in Milwaukee, ""has never been to a juvenile facility,"" and ""didn't want it to be done.""",Lena Taylor,Fake
Samantha Putterman,"Quotes Harriet Tubman as saying, ""I freed a thousand slaves. I could have freed a thousand more if only they knew they were slaves.""",Facebook posts,Fake
Ciara O'Rourke,"""When Winston Churchill was asked to cut arts funding in favour of the war effort, he simply replied, ‘then what are we fighting for?’ """,Viral image,Fake
Samantha Putterman,"Quotes Bernie Sanders as saying, ""Christianity is an insult to Muslims.""",Facebook posts,Fake
Ciara O'Rourke,"Says Alexandria Ocasio-Cortez said, ""We need to repeal Daylight Savings Time as a primary measure to decrease the rate of climate change. Less hours of sun shine equal less heat hitting Earth’s surface.""",Viral image,Fake
Miriam Valverde,"""American middle schools caught forcing students to do Muslim prayers 5 times a day.""",Bloggers,Fake
Ciara O'Rourke,"""The day Al Gore was born, there were 130,000 glaciers on earth. Today, only 130,000 remain.""",Viral image,Fake
Ciara O'Rourke,The Mueller report was leaked.,Viral image,Fake
Warren Fiske,"""Women in Virginia have been incarcerated at an increasingly high rate. It’s around (a) 300 percent increase in the past four or five years.""",Kaye Kory,Fake
Jon Greenberg,"""Every single (health care) plan that this White House has ever put forward since Donald Trump was elected covered pre-existing conditions.""",Mick Mulvaney,Fake
Louis Jacobson,"""In 30 states, average teacher pay is less than the living wage for a family of four.""",Kamala Harris,Real
Ciara O'Rourke,"Bluegill fish ""are responsible for over 500 deaths in the United States every summer.""",Viral image,Fake
Samantha Putterman,"Quotes Adolf Hitler as saying the best way to control a people is ""to take a little of their freedom at a time.""",Facebook posts,Fake
Kiannah Sepeda-Miller,"""Pritzker and Madigan want to change the constitution to allow a permanent jobs tax on middle class families.""",Ideas Illinois,Fake
Madlin Mekelburg,"""Right now, 1 in 4 Texas women of reproductive age are uninsured, totaling 1.5 million Texas women.""",John Bucy III,Real
Colin Meyn,"""It is a carbon tax whether it is convenient to say it or not.""",Scott Beck,Fake
Jill Terreri,"For Cabinet posts, ""I have the best voting record against Trump nominees of anyone else running for president""",Kirsten Gillibrand,Real
Samantha Putterman,"Says Islamic studies professor Tariq Ramadan said Muslims are here ""to colonize the U.S. and Canada and spread Sharia law"" and won’t ""hesitate to use violent Jihad"" if they have to.",Facebook posts,Fake
Ciara O'Rourke,"Says Donna Brazile is a ""criminal.""",Viral image,Fake
Julianna Rennie,"""President Trump’s wall costs less than the ObamaCare website.""",Facebook posts,Fake
Matthew Riley,"Says an ICE detainer request ""is not a valid warrant.""",Quentin Miller,Real
John Kruzel,"""The FBI said (former national security adviser Michael Flynn) wasn't lying.""",Donald Trump,Fake
Mica Soellner,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",Tammy Baldwin,Real
Sarah Stanley,"Says Fred Trump was arrested for ""participating in KKK riot"" in 1927.",Facebook posts,Fake
Ciara O'Rourke,"Says Tom Ford said about Melania Trump, ""I have no interest in dressing a glorified escort who steals speeches and has bad taste in men.""",Viral image,Fake
Chris Nichols,"Says Trump administration is ""raiding money"" from military service member pensions to pay for the border wall.",Kamala Harris,Fake
Jon Greenberg,"Says Donald Trump’s health care policies have ""left millions more Americans uninsured since he took office.""",Julián Castro,Real
Samantha Putterman,"Says Adam Schiff used taxpayer money to ""reach a sexual harassment settlement with a 19-year-old male.""",Facebook posts,Fake
Ciara O'Rourke,"""President Trump signed legislation to clean up millions of tons of trash from our oceans and lakes last week.""",Viral image,Fake
Ciara O'Rourke,A photograph shows Barack Obama kissing David Cameron.,Viral image,Fake
Samantha Patrick,"""We have more women in the workforce than ever before.""",West Virginia Republican Party,Real
Patrick Downey,"""The catalytic converter used in automobiles was invented in West Virginia.""",Brian Joseph,Fake
Ciara O'Rourke,"Says Samuel L. Jackson said, ""Maybe if we underpaid these modern mumble rappers and overpaid teachers there would be smarter people in the future and less s----- music.""",Viral image,Fake
Liz Newton,"""Right here (in West Virginia), they are building new houses … so that 321 Syrian Muslims can move down into this neighborhood in two months. … (A funeral home) is to be torn down in two months, and a mosque is going to built there.""",Facebook posts,Fake
Ciara O'Rourke,"Says Joseph Stalin said, ""It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.""",Viral image,Fake
Ciara O'Rourke,"""Congress quietly repealed the McCarran Warner Act of 1952 forbidding Muslims from holding office.""",Facebook posts,Fake
Amy Sherman,"""Some patients who are on transplant lists for kidney or other organs are being dropped from the list simply because they are shown as a licensed card holder"" for medical marijuana.",Gary Farmer,Real
Madlin Mekelburg,"""We now have several hundred teachers that are over 100 years old and what I've read recently is that a baby born today, their age expectancy is 110, at least.""",Bob Hall,Real
Jon Greenberg,"The Trump budget ""cuts $845 billion, almost a trillion dollar cut in Medicare.""",Joe Biden,Fake
Julianna Rennie,ATM users in distress can enter their PIN backwards to secretly call the police.,Facebook posts,Fake
Sidney Steele,"Says ""zero"" African Americans have presented to the House Budget Committee in 2019.",Tommie Pierson Jr.,Real
Bill McCarthy,"""HR 1 is going to take your hard-earned tax dollars and millions more and send them to (a political candidate’s) campaign so (they) can put ads on TV.""",Mark Walker,Fake
Warren Fiske,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",Terry McAuliffe,Fake
Samantha Putterman,"Shows a photo of two similar Wall Street Journal newspapers with different headlines about President Donald Trump, and describes the editions as, ""Same paper, same dates, different markets. What did you just learn? Feeling manipulated yet?""",Viral image,Fake
Samantha Putterman,"Says a photograph of Harriet Tubman shows she was a ""gun-toting, Democrat-shooting, 2nd Amendment-supporting Republican.""",Facebook posts,Fake
Louis Jacobson,"After legalizing marijuana in Colorado, ""we haven't seen a spike in consumption.""",John Hickenlooper,Real
